posx,posy,posz,velx,vely,velz
3560198.67734938,-15396312.2917115,-2505704.13135583,4407.3796983414,653.019637753846,2249.68823197925
3564605.8837465,-15395658.5229417,-2503454.32123933,4407.03302472486,654.517891325731,2249.9319640089
3569012.74325591,-15395003.2559501,-2501204.26750027,4406.68592223984,656.016081203591,2250.1754770874
3573419.25544808,-15394346.4908007,-2498953.97035762,4406.33839092012,657.514207241439,2250.41877119107
3577825.41989486,-15393688.2275571,-2496703.43003036,4405.99043079951,659.01226929368,2250.66184629622
3582231.23616681,-15393028.4662835,-2494452.6467375,4405.64204191189,660.510267214335,2250.90470237921
3586636.70383584,-15392367.2070441,-2492201.62069809,4405.29322429115,662.008200857822,2251.1473394164
3591041.8224722,-15391704.4499034,-2489950.35213117,4404.94397797125,663.506070078074,2251.38975738417
3595446.59164894,-15391040.1949256,-2487698.84125582,4404.59430298613,665.003874729818,2251.63195625894
3599851.01093535,-15390374.4421756,-2485447.08829116,4404.2441993699,666.50161466671,2251.87393601713
3604255.07990487,-15389707.1917179,-2483195.09345631,4403.89366715653,667.999289743586,2252.11569663521
3608658.7981272,-15389038.4436178,-2480942.85697042,4403.54270638022,669.496899814206,2252.35723808963
3613062.16517484,-15388368.1979401,-2478690.37905267,4403.19131707507,670.994444733131,2252.5985603569
3617465.18061856,-15387696.4547502,-2476437.65992225,4402.83949927531,672.491924354423,2252.83966341353
3621867.84403027,-15387023.2141134,-2474184.69979839,4402.48725301516,673.989338532465,2253.08054723607
3626270.15498184,-15386348.476095,-2471931.49890033,4402.13457832889,675.486687121626,2253.32121180106
3630672.11304418,-15385672.2407611,-2469678.05744735,4401.78147525084,676.983969976,2253.56165708508
3635073.71778926,-15384994.5081772,-2467424.37565874,4401.42794381536,678.481186949978,2253.80188306475
3639474.96878909,-15384315.2784093,-2465170.4537538,4401.07398405685,679.978337897954,2254.04188971667
3643875.86561467,-15383634.5515235,-2462916.29195189,4400.71959600977,681.475422674039,2254.28167701751
3648276.4078384,-15382952.3275861,-2460661.89047237,4400.36477970858,682.972441132741,2254.52124494391
3652676.59503139,-15382268.6066635,-2458407.24953461,4400.00953518785,684.469393128184,2254.76059347257
3657076.42676611,-15381583.3888221,-2456152.36935803,4399.6538624821,685.966278514886,2254.99972258019
3661475.90261369,-15380896.6741288,-2453897.25016207,4399.297761626,687.463097146986,2255.23863224351
3665875.0221467,-15380208.4626502,-2451641.89216618,4398.94123265415,688.959848879011,2255.47732243927
3670273.78493601,-15379518.7544535,-2449386.29558983,4398.5842756013,690.456533565016,2255.71579314425
3674672.19055527,-15378827.5496055,-2447130.46065253,4398.22689050211,691.953151059842,2255.95404433523
3679070.2385744,-15378134.8481739,-2444874.38757381,4397.86907739145,693.449701217259,2256.19207598905
3683467.92856745,-15377440.6502257,-2442618.07657321,4397.51083630405,694.946183892215,2256.42988808252
3687865.26010441,-15376744.9558288,-2440361.52787031,4397.15216727487,696.442598938496,2256.66748059251
3692262.23275941,-15376047.7650505,-2438104.7416847,4396.7930703387,697.938946211065,2256.9048534959
3696658.84610252,-15375349.0779591,-2435847.718236,4396.43354553061,699.435225563722,2257.14200676958
3701055.09970757,-15374648.8946222,-2433590.45774385,4396.07359288548,700.931436851339,2257.37894039048
3705450.99314608,-15373947.2151081,-2431332.96042792,4395.71321243839,702.427579928124,2257.61565433555
3709846.52598956,-15373244.0394853,-2429075.22650789,4395.35240422443,703.923654648279,2257.85214858174
3714241.69781165,-15372539.3678218,-2426817.25620347,4394.99116827865,705.419660866614,2258.08842310604
3718636.50818326,-15371833.2001866,-2424559.0497344,4394.62950463627,706.915598437146,2258.32447788546
3723030.95667842,-15371125.5366479,-2422300.60732043,4394.26741333241,708.41146721479,2258.56031289702
3727425.04286743,-15370416.3772752,-2420041.92918134,4393.90489440239,709.907267053394,2258.79592811779
3731818.76632476,-15369705.7221369,-2417783.01553694,4393.54194788141,711.402997807978,2259.03132352482
3736212.12662108,-15368993.5713026,-2415523.86660704,4393.17857380485,712.898659332494,2259.26649909521
3740605.12332991,-15368279.9248414,-2413264.48261151,4392.81477220804,714.39425148169,2259.50145480607
3744997.75602305,-15367564.7828229,-2411004.8637702,4392.4505431264,715.889774109823,2259.73619063455
3749390.02427338,-15366848.1453166,-2408745.01030301,4392.08588659538,717.38522707146,2259.97070655779
3753781.92765382,-15366130.0123921,-2406484.92242987,4391.72080265043,718.880610221167,2260.20500255298
3758173.46573627,-15365410.3841195,-2404224.6003707,4391.35529132712,720.375923413223,2260.43907859731
3762564.63809373,-15364689.2605688,-2401964.04434547,4390.989352661,721.871166502216,2260.672934668
3766955.4442992,-15363966.64181,-2399703.25457417,4390.62298668767,723.366339342731,2260.90657074231
3771345.88392474,-15363242.5279136,-2397442.2312768,4390.25619344281,724.861441789072,2261.13998679748
3775735.95654373,-15362516.91895,-2395180.97467339,4389.88897296209,726.356473695936,2261.37318281081
