posx,posy,posz,velx,vely,velz
-3424.58561252074,4019.51211877754,3565.20569971011,-0.292372425441896,-0.248091746636245,-0.00111927373312737
-3424.87759961037,4019.26508902176,3565.20373188315,-0.291608654872104,-0.245966996409222,-0.00281740529467252
-3425.16882930007,4019.02018509203,3565.20006420379,-0.290851790985789,-0.243841327489852,-0.00451737209955244
-3425.4593020456,4018.77740715271,3565.19469665961,-0.290095215577155,-0.241715021420004,-0.00621666181106174
-3425.74901831647,4018.53675534393,3565.18762926108,-0.289339108379606,-0.239588551600888,-0.00791595046962048
-3426.03797857029,4018.29822983994,3565.17886197207,-0.28858156465122,-0.237463746642335,-0.00961671970236972
-3426.32618324259,4018.06183076077,3565.16839480776,-0.287827447113819,-0.235336345747162,-0.0113157018370189
-3426.61363280782,4017.82755828979,3565.15622774333,-0.287073882340767,-0.233208981543509,-0.0130149722057053
-3426.90032772534,4017.59541253742,3565.14236077166,-0.286318605712283,-0.231082534897109,-0.0147146597446829
-3427.18626844526,4017.36539368272,3565.12679385887,-0.285564935147639,-0.228955521259087,-0.0164143308875418
-3427.47145538039,4017.1375018452,3565.109527004,-0.284811732910895,-0.226828344356776,-0.0181140011029252
-3427.75588902979,4016.91173717875,3565.09056018236,-0.284058135839801,-0.224702155077618,-0.0198147495294664
-3428.03956981362,4016.68809980117,3565.06989335857,-0.283306924003277,-0.222574048447048,-0.0215141131346506
-3428.32249816553,4016.46658984464,3565.04752650904,-0.282553977760272,-0.22044671172747,-0.0232136981677045
-3428.60467452911,4016.2472074245,3565.02345963989,-0.281802744190122,-0.218319156102231,-0.0249137518734352
-3428.88609935321,4016.02995271581,3564.99769266996,-0.281051788612437,-0.216190890086081,-0.0266130302686249
-3429.1667730875,4015.81482583063,3564.97022559437,-0.280300364815036,-0.214063485325564,-0.0283131954376181
-3429.44669967427,4015.60183101359,3564.94106206863,-0.279558406047081,-0.211925362070634,-0.0300039196407527
-3429.72616957727,4015.39130795098,3564.9105055534,-0.27878321877004,-0.209828062305264,-0.0317317715249782
-3430.00456956305,4015.18253824202,3564.87791381837,-0.278032226882378,-0.207700969835878,-0.0334325274453562
-3430.28216138558,4014.97582802383,3564.84356031953,-0.277258715878466,-0.205601916559364,-0.0351588885632626
-3430.55913138925,4014.77139503027,3564.80763953657,-0.276589386381172,-0.203379906870634,-0.0367751264246107
