"Time (EpSec)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
0.000,-2570.747612,-4617.775612,3558.421150,-0.002270,-0.000058,-0.001700
0.116,-2570.747891,-4617.775618,3558.420942,-0.002535,-0.000058,-0.001895
0.316,-2570.748444,-4617.775631,3558.420529,-0.002989,-0.000069,-0.002234
0.516,-2570.749087,-4617.775646,3558.420048,-0.003443,-0.000079,-0.002574
0.716,-2570.749821,-4617.775662,3558.419499,-0.003898,-0.000090,-0.002913
0.916,-2570.750646,-4617.775681,3558.418882,-0.004352,-0.000100,-0.003253
1.000,-2570.751019,-4617.775690,3558.418603,-0.004543,-0.000104,-0.003396
1.116,-2570.751562,-4617.775702,3558.418197,-0.004806,-0.000111,-0.003593
1.316,-2570.752568,-4617.775725,3558.417445,-0.005261,-0.000121,-0.003932
1.516,-2570.753666,-4617.775750,3558.416624,-0.005715,-0.000131,-0.004271
1.716,-2570.754854,-4617.775777,3558.415735,-0.006170,-0.000142,-0.004611
1.916,-2570.756133,-4617.775807,3558.414779,-0.006624,-0.000152,-0.004951
2.116,-2570.757504,-4617.775838,3558.413755,-0.007078,-0.000163,-0.005290
2.316,-2570.758965,-4617.775871,3558.412662,-0.007533,-0.000173,-0.005630
2.516,-2570.760516,-4617.775907,3558.411502,-0.007987,-0.000184,-0.005970
2.716,-2570.762159,-4617.775944,3558.410274,-0.008441,-0.000196,-0.006309
2.916,-2570.763893,-4617.775984,3558.408977,-0.008895,-0.000205,-0.006648
3.116,-2570.765717,-4617.776026,3558.407613,-0.009350,-0.000217,-0.006988
3.316,-2570.767632,-4617.776069,3558.406181,-0.009804,-0.000226,-0.007328
3.516,-2570.769638,-4617.776115,3558.404681,-0.010259,-0.000238,-0.007666
3.716,-2570.771735,-4617.776163,3558.403113,-0.010713,-0.000247,-0.008006
3.916,-2570.773923,-4617.776213,3558.401478,-0.011167,-0.000258,-0.008346
4.116,-2570.776202,-4617.776265,3558.399774,-0.011621,-0.000268,-0.008686
4.316,-2570.778571,-4617.776319,3558.398002,-0.012075,-0.000280,-0.009026
4.516,-2570.781031,-4617.776376,3558.396162,-0.012530,-0.000289,-0.009365
4.716,-2570.783583,-4617.776434,3558.394255,-0.012984,-0.000300,-0.009704
4.916,-2570.786225,-4617.776494,3558.392279,-0.013438,-0.000310,-0.010044
5.116,-2570.788958,-4617.776557,3558.390236,-0.013893,-0.000321,-0.010383
5.316,-2570.791781,-4617.776621,3558.388124,-0.014347,-0.000331,-0.010723
5.516,-2570.794696,-4617.776688,3558.385945,-0.014801,-0.000343,-0.011063
5.716,-2570.797701,-4617.776756,3558.383698,-0.015256,-0.000352,-0.011402
5.916,-2570.800798,-4617.776827,3558.381383,-0.015710,-0.000363,-0.011741
6.116,-2570.803985,-4617.776900,3558.379000,-0.016164,-0.000373,-0.012082
6.316,-2570.807263,-4617.776975,3558.376548,-0.016618,-0.000383,-0.012421
6.516,-2570.810632,-4617.777052,3558.374029,-0.017073,-0.000394,-0.012761
6.716,-2570.814092,-4617.777131,3558.371443,-0.017527,-0.000405,-0.013100
6.916,-2570.817642,-4617.777212,3558.368788,-0.017981,-0.000415,-0.013440
7.116,-2570.821284,-4617.777295,3558.366065,-0.018436,-0.000424,-0.013779
7.316,-2570.825016,-4617.777380,3558.363274,-0.018890,-0.000436,-0.014119
7.516,-2570.828839,-4617.777468,3558.360415,-0.019345,-0.000447,-0.014458
7.716,-2570.832753,-4617.777557,3558.357489,-0.019799,-0.000457,-0.014798
7.916,-2570.836758,-4617.777649,3558.354494,-0.020253,-0.000466,-0.015137
8.116,-2570.840854,-4617.777742,3558.351432,-0.020708,-0.000478,-0.015476
8.316,-2570.845040,-4617.777838,3558.348301,-0.021161,-0.000487,-0.015817
8.516,-2570.849318,-4617.777935,3558.345103,-0.021616,-0.000499,-0.016156
8.716,-2570.853686,-4617.778035,3558.341837,-0.022070,-0.000508,-0.016496
8.916,-2570.858145,-4617.778137,3558.338502,-0.022525,-0.000520,-0.016835
9.116,-2570.862695,-4617.778241,3558.335100,-0.022979,-0.000529,-0.017175
9.316,-2570.867336,-4617.778347,3558.331630,-0.023433,-0.000541,-0.017514
9.516,-2570.872068,-4617.778455,3558.328092,-0.023888,-0.000550,-0.017854
9.716,-2570.876890,-4617.778565,3558.324486,-0.024342,-0.000562,-0.018194
9.916,-2570.881803,-4617.778677,3558.320812,-0.024796,-0.000571,-0.018533
10.116,-2570.886808,-4617.778791,3558.317070,-0.025251,-0.000583,-0.018872
10.316,-2570.891903,-4617.778908,3558.313261,-0.025704,-0.000592,-0.019213
10.516,-2570.897089,-4617.779026,3558.309383,-0.026159,-0.000604,-0.019552
10.716,-2570.902365,-4617.779147,3558.305437,-0.026613,-0.000613,-0.019891
10.916,-2570.907733,-4617.779269,3558.301423,-0.027068,-0.000625,-0.020231
11.116,-2570.913192,-4617.779394,3558.297342,-0.027522,-0.000634,-0.020570
11.316,-2570.918741,-4617.779520,3558.293192,-0.027976,-0.000646,-0.020910
11.516,-2570.924381,-4617.779649,3558.288975,-0.028431,-0.000655,-0.021249
11.716,-2570.930112,-4617.779780,3558.284690,-0.028885,-0.000667,-0.021589
11.916,-2570.935934,-4617.779913,3558.280336,-0.029339,-0.000676,-0.021929
12.116,-2570.941847,-4617.780048,3558.275915,-0.029793,-0.000687,-0.022269
12.316,-2570.947850,-4617.780185,3558.271426,-0.030247,-0.000697,-0.022608
12.516,-2570.953945,-4617.780324,3558.266869,-0.030702,-0.000708,-0.022947
12.716,-2570.960130,-4617.780465,3558.262244,-0.031156,-0.000718,-0.023287
12.916,-2570.966406,-4617.780608,3558.257551,-0.031610,-0.000730,-0.023627
13.116,-2570.972773,-4617.780753,3558.252790,-0.032065,-0.000739,-0.023966
13.196,-2570.975348,-4617.780812,3558.250864,-0.032242,-0.000736,-0.024108
13.316,-2570.979231,-4617.780901,3558.247961,-0.032519,-0.000751,-0.024305
13.516,-2570.985780,-4617.781050,3558.243064,-0.032973,-0.000760,-0.024646
13.716,-2570.992419,-4617.781202,3558.238099,-0.033428,-0.000772,-0.024985
13.916,-2570.999150,-4617.781355,3558.233066,-0.033882,-0.000781,-0.025325
14.116,-2571.005971,-4617.781511,3558.227966,-0.034336,-0.000792,-0.025664
14.316,-2571.012883,-4617.781668,3558.222797,-0.034790,-0.000802,-0.026004
14.516,-2571.019886,-4617.781828,3558.217560,-0.035245,-0.000813,-0.026343
14.716,-2571.026980,-4617.781990,3558.212256,-0.035699,-0.000823,-0.026683
14.916,-2571.034164,-4617.782154,3558.206883,-0.036154,-0.000831,-0.027022
15.116,-2571.041440,-4617.782320,3558.201443,-0.036607,-0.000844,-0.027363
15.316,-2571.048806,-4617.782488,3558.195935,-0.037062,-0.000854,-0.027702
15.516,-2571.056263,-4617.782658,3558.190358,-0.037516,-0.000865,-0.028042
15.716,-2571.063811,-4617.782830,3558.184714,-0.037971,-0.000875,-0.028381
15.916,-2571.071450,-4617.783004,3558.179002,-0.038425,-0.000886,-0.028721
16.116,-2571.079180,-4617.783180,3558.173222,-0.038879,-0.000896,-0.029060
16.316,-2571.087000,-4617.783358,3558.167374,-0.039333,-0.000906,-0.029400
16.516,-2571.094912,-4617.783539,3558.161458,-0.039787,-0.000915,-0.029740
16.716,-2571.102914,-4617.783722,3558.155474,-0.040241,-0.000927,-0.030080
16.916,-2571.111009,-4617.783909,3558.149425,-0.040695,-0.000939,-0.030419
17.116,-2571.119234,-4617.784170,3558.143362,-0.041150,-0.000947,-0.030758
17.316,-2571.127598,-4617.784518,3558.137299,-0.041604,-0.000958,-0.031098
17.516,-2571.136037,-4617.784841,3558.131145,-0.042059,-0.000968,-0.031437
17.716,-2571.144506,-4617.785055,3558.124838,-0.042514,-0.000980,-0.031777
17.916,-2571.153062,-4617.785266,3558.118459,-0.042967,-0.000989,-0.032117
18.116,-2571.161697,-4617.785457,3558.111995,-0.043421,-0.000998,-0.032457
18.316,-2571.170423,-4617.785650,3558.105463,-0.043876,-0.001010,-0.032796
18.516,-2571.179239,-4617.785845,3558.098862,-0.044330,-0.001022,-0.033136
18.716,-2571.188146,-4617.786041,3558.092194,-0.044784,-0.001031,-0.033475
18.916,-2571.197144,-4617.786240,3558.085458,-0.045239,-0.001041,-0.033814
19.116,-2571.206233,-4617.786441,3558.078654,-0.045693,-0.001052,-0.034154
19.316,-2571.215413,-4617.786643,3558.071781,-0.046148,-0.001064,-0.034494
19.516,-2571.224672,-4617.786828,3558.064825,-0.046601,-0.001073,-0.034835
19.716,-2571.234018,-4617.787008,3558.057796,-0.047054,-0.001080,-0.035175
19.916,-2571.243455,-4617.787190,3558.050699,-0.047510,-0.001093,-0.035513
20.116,-2571.253001,-4617.787406,3558.043559,-0.047964,-0.001104,-0.035853
20.316,-2571.262645,-4617.787637,3558.036362,-0.048418,-0.001115,-0.036192
20.516,-2571.272381,-4617.787871,3558.029096,-0.048872,-0.001124,-0.036532
20.716,-2571.282207,-4617.788107,3558.021763,-0.049326,-0.001136,-0.036872
20.916,-2571.292124,-4617.788345,3558.014362,-0.049781,-0.001145,-0.037212
21.116,-2571.302131,-4617.788585,3558.006893,-0.050235,-0.001156,-0.037552
21.316,-2571.312230,-4617.788828,3557.999356,-0.050689,-0.001166,-0.037891
21.516,-2571.322420,-4617.789072,3557.991751,-0.051144,-0.001177,-0.038231
21.716,-2571.332700,-4617.789319,3557.984078,-0.051598,-0.001187,-0.038569
21.916,-2571.343072,-4617.789568,3557.976338,-0.052052,-0.001198,-0.038910
22.116,-2571.353534,-4617.789819,3557.968529,-0.052506,-0.001208,-0.039249
22.316,-2571.364087,-4617.790072,3557.960653,-0.052961,-0.001216,-0.039588
22.516,-2571.374725,-4617.790316,3557.952700,-0.053415,-0.001227,-0.039929
22.716,-2571.385445,-4617.790547,3557.944667,-0.053869,-0.001238,-0.040269
22.916,-2571.396256,-4617.790780,3557.936566,-0.054324,-0.001250,-0.040607
23.116,-2571.407158,-4617.791014,3557.928398,-0.054777,-0.001257,-0.040948
23.316,-2571.418150,-4617.791251,3557.920161,-0.055232,-0.001269,-0.041287
23.516,-2571.429234,-4617.791489,3557.911856,-0.055686,-0.001280,-0.041627
23.716,-2571.440408,-4617.791730,3557.903483,-0.056141,-0.001290,-0.041966
23.916,-2571.451673,-4617.791972,3557.895042,-0.056595,-0.001299,-0.042306
24.116,-2571.463028,-4617.792217,3557.886533,-0.057049,-0.001311,-0.042646
24.316,-2571.474475,-4617.792463,3557.877956,-0.057521,-0.001353,-0.042961
24.516,-2571.486040,-4617.792734,3557.869316,-0.058279,-0.001500,-0.043371
24.716,-2571.497787,-4617.793058,3557.860600,-0.059192,-0.001753,-0.043776
24.916,-2571.509718,-4617.793434,3557.851804,-0.060109,-0.002011,-0.044173
25.116,-2571.521832,-4617.793863,3557.842929,-0.061030,-0.002281,-0.044562
25.316,-2571.534131,-4617.794346,3557.833977,-0.061956,-0.002562,-0.044941
25.516,-2571.546616,-4617.794886,3557.824950,-0.062885,-0.002850,-0.045313
25.716,-2571.559286,-4617.795485,3557.815850,-0.063818,-0.003146,-0.045677
25.892,-2571.570602,-4617.796063,3557.807774,-0.064642,-0.003418,-0.045990
26.016,-2571.578643,-4617.796498,3557.802066,-0.065224,-0.003613,-0.046205
26.216,-2571.591782,-4617.797252,3557.792789,-0.066166,-0.003936,-0.046545
26.416,-2571.605110,-4617.798072,3557.783446,-0.067111,-0.004269,-0.046877
26.616,-2571.618628,-4617.798960,3557.774037,-0.068062,-0.004613,-0.047197
26.816,-2571.632336,-4617.799917,3557.764565,-0.069015,-0.004967,-0.047509
27.016,-2571.646236,-4617.800946,3557.755031,-0.069972,-0.005331,-0.047811
27.216,-2571.660326,-4617.802049,3557.745438,-0.070932,-0.005706,-0.048104
27.416,-2571.674606,-4617.803224,3557.735786,-0.071846,-0.006050,-0.048393
27.616,-2571.689049,-4617.804426,3557.726039,-0.072619,-0.006041,-0.049005
27.816,-2571.703655,-4617.805640,3557.716182,-0.073429,-0.006109,-0.049552
28.016,-2571.718422,-4617.806868,3557.706215,-0.074239,-0.006176,-0.050099
28.216,-2571.733351,-4617.808110,3557.696139,-0.075049,-0.006243,-0.050646
28.416,-2571.748442,-4617.809365,3557.685954,-0.075859,-0.006312,-0.051192
28.616,-2571.763696,-4617.810633,3557.675660,-0.076669,-0.006378,-0.051739
28.816,-2571.779111,-4617.811915,3557.665256,-0.077479,-0.006446,-0.052286
28.863,-2571.782769,-4617.812219,3557.662787,-0.077667,-0.006457,-0.052421
29.016,-2571.794689,-4617.813210,3557.654742,-0.078289,-0.006512,-0.052833
29.216,-2571.810428,-4617.814519,3557.644119,-0.079099,-0.006579,-0.053381
29.416,-2571.826330,-4617.815841,3557.633387,-0.079909,-0.006646,-0.053928
29.616,-2571.842393,-4617.817177,3557.622546,-0.080719,-0.006715,-0.054474
29.816,-2571.858619,-4617.818526,3557.611595,-0.081530,-0.006781,-0.055021
30.016,-2571.875007,-4617.819888,3557.600534,-0.082340,-0.006848,-0.055568
30.216,-2571.891556,-4617.821264,3557.589364,-0.083150,-0.006916,-0.056115
30.416,-2571.908268,-4617.822653,3557.578085,-0.083960,-0.006981,-0.056662
30.616,-2571.925141,-4617.824056,3557.566696,-0.084770,-0.007050,-0.057209
30.816,-2571.942177,-4617.825472,3557.555198,-0.085580,-0.007116,-0.057756
31.016,-2571.959375,-4617.826901,3557.543591,-0.086390,-0.007184,-0.058303
31.216,-2571.976735,-4617.828344,3557.531874,-0.087200,-0.007251,-0.058850
31.416,-2571.994256,-4617.829801,3557.520048,-0.088010,-0.007319,-0.059397
31.616,-2572.011940,-4617.831271,3557.508112,-0.088820,-0.007384,-0.059944
31.816,-2572.029786,-4617.832754,3557.496067,-0.089630,-0.007454,-0.060491
32.016,-2572.047794,-4617.834250,3557.483912,-0.090441,-0.007519,-0.061038
32.216,-2572.065964,-4617.835760,3557.471648,-0.091251,-0.007586,-0.061585
32.416,-2572.084296,-4617.837284,3557.459275,-0.092060,-0.007654,-0.062132
32.616,-2572.102790,-4617.838821,3557.446792,-0.092871,-0.007720,-0.062679
32.816,-2572.121445,-4617.840371,3557.434200,-0.093681,-0.007789,-0.063225
33.016,-2572.140263,-4617.841935,3557.421498,-0.094490,-0.007856,-0.063773
33.216,-2572.159243,-4617.843512,3557.408687,-0.095300,-0.007922,-0.064321
33.416,-2572.178385,-4617.845102,3557.395767,-0.096110,-0.007989,-0.064868
33.616,-2572.197689,-4617.846706,3557.382737,-0.096920,-0.008057,-0.065415
33.816,-2572.217155,-4617.848323,3557.369597,-0.097731,-0.008124,-0.065961
34.016,-2572.236783,-4617.849954,3557.356349,-0.098541,-0.008189,-0.066508
34.216,-2572.256573,-4617.851598,3557.342990,-0.099351,-0.008256,-0.067055
34.416,-2572.276525,-4617.853256,3557.329523,-0.100160,-0.008324,-0.067603
34.616,-2572.296639,-4617.854927,3557.315946,-0.100971,-0.008392,-0.068149
34.816,-2572.316915,-4617.856611,3557.302259,-0.101780,-0.008459,-0.068697
35.016,-2572.337353,-4617.858309,3557.288463,-0.102591,-0.008526,-0.069244
35.216,-2572.357953,-4617.860020,3557.274558,-0.103400,-0.008593,-0.069792
35.416,-2572.378715,-4617.861744,3557.260543,-0.104211,-0.008659,-0.070338
35.616,-2572.399640,-4617.863482,3557.246419,-0.105021,-0.008724,-0.070885
35.816,-2572.420726,-4617.865233,3557.232185,-0.105831,-0.008791,-0.071431
36.016,-2572.441963,-4617.866997,3557.217849,-0.106348,-0.008836,-0.071781
36.114,-2572.452403,-4617.867864,3557.210801,-0.106347,-0.008835,-0.071782
36.216,-2572.463234,-4617.868763,3557.203491,-0.106347,-0.008836,-0.071781
36.416,-2572.484504,-4617.870529,3557.189132,-0.106347,-0.008836,-0.071782
36.616,-2572.505774,-4617.872296,3557.174774,-0.106347,-0.008836,-0.071782
36.816,-2572.527045,-4617.874062,3557.160415,-0.106346,-0.008835,-0.071783
37.016,-2572.548315,-4617.875828,3557.146057,-0.106346,-0.008833,-0.071783
37.216,-2572.569585,-4617.877594,3557.131698,-0.106346,-0.008833,-0.071783
37.416,-2572.590855,-4617.879360,3557.117339,-0.106346,-0.008833,-0.071784
37.444,-2572.593795,-4617.879604,3557.115355,-0.106342,-0.008828,-0.071790
37.616,-2572.612126,-4617.881126,3557.102980,-0.106346,-0.008833,-0.071784
37.816,-2572.633396,-4617.882892,3557.088622,-0.106346,-0.008831,-0.071783
38.016,-2572.654666,-4617.884657,3557.074263,-0.106345,-0.008831,-0.071785
38.216,-2572.675936,-4617.886423,3557.059904,-0.106345,-0.008832,-0.071785
38.416,-2572.697206,-4617.888188,3557.045545,-0.106345,-0.008831,-0.071784
38.616,-2572.718476,-4617.889954,3557.031186,-0.106345,-0.008830,-0.071785
38.816,-2572.739746,-4617.891719,3557.016826,-0.106344,-0.008829,-0.071786
39.016,-2572.761016,-4617.893485,3557.002467,-0.106344,-0.008829,-0.071786
39.216,-2572.782286,-4617.895250,3556.988108,-0.106344,-0.008830,-0.071786
39.416,-2572.803556,-4617.897015,3556.973749,-0.106344,-0.008829,-0.071786
39.616,-2572.824826,-4617.898780,3556.959389,-0.106344,-0.008829,-0.071787
39.816,-2572.846096,-4617.900545,3556.945030,-0.106343,-0.008829,-0.071787
40.016,-2572.867365,-4617.902310,3556.930670,-0.106343,-0.008829,-0.071787
40.216,-2572.888635,-4617.904075,3556.916311,-0.106343,-0.008829,-0.071788
40.416,-2572.909905,-4617.905840,3556.901951,-0.106343,-0.008826,-0.071788
40.616,-2572.931174,-4617.907605,3556.887591,-0.106343,-0.008826,-0.071788
40.816,-2572.952444,-4617.909369,3556.873231,-0.106342,-0.008826,-0.071789
41.016,-2572.973714,-4617.911134,3556.858871,-0.106342,-0.008826,-0.071789
41.216,-2572.994983,-4617.912898,3556.844512,-0.106342,-0.008826,-0.071789
41.416,-2573.016253,-4617.914663,3556.830152,-0.106341,-0.008826,-0.071789
41.616,-2573.037522,-4617.916427,3556.815792,-0.106342,-0.008825,-0.071789
41.816,-2573.058792,-4617.918191,3556.801431,-0.106341,-0.008824,-0.071790
42.016,-2573.080061,-4617.919956,3556.787071,-0.106341,-0.008823,-0.071790
42.216,-2573.101330,-4617.921720,3556.772711,-0.106341,-0.008823,-0.071790
42.416,-2573.122600,-4617.923484,3556.758351,-0.106341,-0.008823,-0.071791
42.616,-2573.143869,-4617.925248,3556.743990,-0.106340,-0.008822,-0.071791
42.816,-2573.165138,-4617.927012,3556.729630,-0.106340,-0.008823,-0.071791
43.016,-2573.186408,-4617.928776,3556.715270,-0.106340,-0.008822,-0.071792
43.216,-2573.207677,-4617.930539,3556.700909,-0.106339,-0.008822,-0.071793
43.416,-2573.228946,-4617.932303,3556.686549,-0.106340,-0.008822,-0.071792
43.616,-2573.250215,-4617.934067,3556.672188,-0.106339,-0.008822,-0.071792
43.816,-2573.271484,-4617.935830,3556.657827,-0.106339,-0.008820,-0.071793
44.016,-2573.292753,-4617.937594,3556.643466,-0.106339,-0.008822,-0.071793
44.216,-2573.314022,-4617.939357,3556.629105,-0.106339,-0.008819,-0.071793
44.416,-2573.335291,-4617.941120,3556.614745,-0.106338,-0.008819,-0.071794
44.616,-2573.356560,-4617.942884,3556.600384,-0.106338,-0.008820,-0.071794
44.816,-2573.378105,-4617.945019,3556.586476,-0.107647,-0.011001,-0.069587
45.016,-2573.399701,-4617.947272,3556.572478,-0.105879,-0.007165,-0.074503
45.216,-2573.421239,-4617.949339,3556.558017,-0.107747,-0.010133,-0.073105
45.416,-2573.442863,-4617.951447,3556.543339,-0.108425,-0.010832,-0.073757
45.616,-2573.464623,-4617.953696,3556.528530,-0.109097,-0.011543,-0.074410
45.816,-2573.486516,-4617.956089,3556.513591,-0.109764,-0.012271,-0.075063
46.016,-2573.508543,-4617.958629,3556.498522,-0.110425,-0.013010,-0.075716
46.119,-2573.519915,-4617.959992,3556.490725,-0.110824,-0.013524,-0.075942
46.316,-2573.541911,-4617.962908,3556.475826,-0.111318,-0.013953,-0.076859
46.336,-2573.544156,-4617.963191,3556.474277,-0.111407,-0.014085,-0.076881
46.516,-2573.564237,-4617.965767,3556.460378,-0.111842,-0.014460,-0.077741
46.553,-2573.568434,-4617.966314,3556.457462,-0.111993,-0.014683,-0.077807
46.716,-2573.586666,-4617.968729,3556.444754,-0.112359,-0.014977,-0.078628
46.916,-2573.609198,-4617.971796,3556.428951,-0.112867,-0.015504,-0.079519
47.116,-2573.631830,-4617.974968,3556.412970,-0.113367,-0.016039,-0.080417
47.316,-2573.654562,-4617.978249,3556.396808,-0.113858,-0.016583,-0.081319
47.516,-2573.677391,-4617.981639,3556.380466,-0.114341,-0.017135,-0.082228
47.681,-2573.696318,-4617.984524,3556.366832,-0.114778,-0.017730,-0.082891
47.816,-2573.711813,-4617.986935,3556.355610,-0.115048,-0.017980,-0.083600
48.016,-2573.734878,-4617.990607,3556.338810,-0.115508,-0.018557,-0.084522
48.216,-2573.758034,-4617.994396,3556.321826,-0.115961,-0.019139,-0.085447
48.416,-2573.781280,-4617.998302,3556.304655,-0.116403,-0.019731,-0.086379
48.616,-2573.804613,-4618.002328,3556.287298,-0.116836,-0.020334,-0.087316
48.816,-2573.828032,-4618.006475,3556.269752,-0.117260,-0.020945,-0.088258
49.016,-2573.851534,-4618.010746,3556.252018,-0.117674,-0.021565,-0.089204
49.216,-2573.875118,-4618.015142,3556.234094,-0.118078,-0.022195,-0.090157
49.416,-2573.898783,-4618.019665,3556.215979,-0.118473,-0.022833,-0.091113
49.616,-2573.922525,-4618.024316,3556.197672,-0.118859,-0.023481,-0.092074
49.816,-2573.946343,-4618.029099,3556.179173,-0.119232,-0.024141,-0.093040
50.016,-2573.970235,-4618.034014,3556.160479,-0.119597,-0.024806,-0.094012
50.193,-2573.991381,-4618.038464,3556.143821,-0.119940,-0.025517,-0.094804
50.316,-2574.006207,-4618.041639,3556.132074,-0.120123,-0.025826,-0.095478
50.516,-2574.030274,-4618.046894,3556.112891,-0.120461,-0.026515,-0.096461
50.716,-2574.054408,-4618.052288,3556.093512,-0.120788,-0.027218,-0.097448
50.916,-2574.078606,-4618.057823,3556.073935,-0.121105,-0.027927,-0.098440
51.116,-2574.102866,-4618.063502,3556.054159,-0.121410,-0.028646,-0.099437
51.316,-2574.127187,-4618.069325,3556.034183,-0.121704,-0.029375,-0.100438
51.516,-2574.151564,-4618.075295,3556.014007,-0.121987,-0.030114,-0.101442
51.716,-2574.175997,-4618.081414,3555.993629,-0.122258,-0.030863,-0.102451
51.916,-2574.200483,-4618.087684,3555.973049,-0.122517,-0.031620,-0.103465
52.116,-2574.225020,-4618.094107,3555.952265,-0.122765,-0.032390,-0.104482
52.316,-2574.249605,-4618.100684,3555.931278,-0.123001,-0.033166,-0.105504
52.516,-2574.274236,-4618.107418,3555.910086,-0.123314,-0.033846,-0.106460
52.716,-2574.298783,-4618.113805,3555.888422,-0.122833,-0.031679,-0.108983
52.916,-2574.323403,-4618.120182,3555.866542,-0.123353,-0.032101,-0.109777
53.116,-2574.348128,-4618.126646,3555.844506,-0.123886,-0.032550,-0.110546
53.239,-2574.363357,-4618.130659,3555.830906,-0.124217,-0.032826,-0.111014
53.416,-2574.385509,-4618.136612,3555.811303,-0.126309,-0.034902,-0.109289
53.616,-2574.410845,-4618.143612,3555.789378,-0.127033,-0.035101,-0.109919
53.816,-2574.436326,-4618.150651,3555.767327,-0.127758,-0.035300,-0.110547
54.016,-2574.461952,-4618.157731,3555.745151,-0.128483,-0.035499,-0.111175
54.049,-2574.466176,-4618.158898,3555.741496,-0.128596,-0.035525,-0.111287
54.216,-2574.487723,-4618.164850,3555.722850,-0.129207,-0.035700,-0.111804
54.416,-2574.513638,-4618.172009,3555.700423,-0.129932,-0.035900,-0.112431
54.616,-2574.539699,-4618.179209,3555.677870,-0.130658,-0.036099,-0.113059
54.816,-2574.565905,-4618.186448,3555.655191,-0.131382,-0.036299,-0.113687
54.859,-2574.571554,-4618.188009,3555.650303,-0.131531,-0.036332,-0.113833
55.016,-2574.592256,-4618.193727,3555.632387,-0.132106,-0.036499,-0.114315
55.216,-2574.618752,-4618.201046,3555.609457,-0.132831,-0.036699,-0.114944
55.416,-2574.645392,-4618.208405,3555.586402,-0.133556,-0.036899,-0.115572
55.616,-2574.672178,-4618.215804,3555.563220,-0.134281,-0.037097,-0.116199
55.816,-2574.699109,-4618.223243,3555.539914,-0.135005,-0.037297,-0.116828
56.016,-2574.726185,-4618.230722,3555.516481,-0.135731,-0.037496,-0.117456
56.216,-2574.753405,-4618.238241,3555.492923,-0.136455,-0.037696,-0.118084
56.416,-2574.780771,-4618.245800,3555.469239,-0.137180,-0.037895,-0.118713
56.616,-2574.808282,-4618.253398,3555.445430,-0.137904,-0.038095,-0.119341
56.816,-2574.835937,-4618.261037,3555.421494,-0.138630,-0.038294,-0.119969
57.016,-2574.863738,-4618.268715,3555.397434,-0.139355,-0.038494,-0.120596
57.216,-2574.891683,-4618.276433,3555.373247,-0.140079,-0.038694,-0.121225
57.416,-2574.919774,-4618.284191,3555.348935,-0.140804,-0.038893,-0.121853
57.616,-2574.948009,-4618.291990,3555.324497,-0.141528,-0.039094,-0.122482
57.816,-2574.976390,-4618.299827,3555.299934,-0.142253,-0.039290,-0.123111
58.016,-2575.004915,-4618.307705,3555.275244,-0.142977,-0.039492,-0.123738
58.216,-2575.033585,-4618.315623,3555.250430,-0.143702,-0.039692,-0.124366
58.416,-2575.062401,-4618.323581,3555.225489,-0.144427,-0.039891,-0.124994
58.616,-2575.091361,-4618.331578,3555.200423,-0.145152,-0.040090,-0.125623
58.816,-2575.120466,-4618.339616,3555.175231,-0.145876,-0.040290,-0.126251
59.016,-2575.149717,-4618.347693,3555.149913,-0.146601,-0.040489,-0.126880
59.216,-2575.179112,-4618.355810,3555.124470,-0.147326,-0.040689,-0.127507
59.416,-2575.208652,-4618.363967,3555.098901,-0.148051,-0.040887,-0.128135
59.616,-2575.238337,-4618.372164,3555.073206,-0.148776,-0.041087,-0.128763
59.816,-2575.268167,-4618.380401,3555.047386,-0.149499,-0.041285,-0.129394
60.016,-2575.298142,-4618.388678,3555.021439,-0.150224,-0.041484,-0.130021
60.216,-2575.328262,-4618.396994,3554.995368,-0.150949,-0.041684,-0.130649
60.416,-2575.358527,-4618.405350,3554.969170,-0.151673,-0.041884,-0.131278
60.616,-2575.388937,-4618.413747,3554.942847,-0.152398,-0.042084,-0.131906
60.816,-2575.419492,-4618.422183,3554.916398,-0.153122,-0.042282,-0.132535
61.016,-2575.450192,-4618.430659,3554.889823,-0.153848,-0.042482,-0.133162
61.216,-2575.481036,-4618.439175,3554.863123,-0.154572,-0.042681,-0.133791
61.416,-2575.512026,-4618.447730,3554.836297,-0.155296,-0.042881,-0.134420
61.616,-2575.543160,-4618.456326,3554.809345,-0.156021,-0.043079,-0.135048
61.816,-2575.574440,-4618.464961,3554.782267,-0.156745,-0.043279,-0.135676
62.016,-2575.605865,-4618.473636,3554.755064,-0.157471,-0.043476,-0.136305
62.216,-2575.637434,-4618.482351,3554.727735,-0.158195,-0.043677,-0.136933
62.416,-2575.669148,-4618.491106,3554.700280,-0.158919,-0.043877,-0.137561
62.616,-2575.701007,-4618.499901,3554.672700,-0.159644,-0.044076,-0.138190
62.816,-2575.733012,-4618.508735,3554.644993,-0.160368,-0.044274,-0.138818
63.016,-2575.765161,-4618.517610,3554.617161,-0.161093,-0.044473,-0.139447
63.216,-2575.797455,-4618.526524,3554.589204,-0.161818,-0.044672,-0.140075
63.416,-2575.829894,-4618.535478,3554.561120,-0.162542,-0.044871,-0.140704
63.616,-2575.862478,-4618.544472,3554.532911,-0.163266,-0.045071,-0.141333
63.816,-2575.895207,-4618.553505,3554.504576,-0.163991,-0.045270,-0.141961
